student_id,first_name,last_name,class,roll_no,attendance_percent,fees_due_days,attempts_in_subject_X,last_test_1,last_test_2,last_test_3,last_3_tests_avg,previous_3_tests_avg
S1033,Arjun,Patil,Diploma-CS,33,55,60,3,50,53,48,50.3,57
S1034,Divya,Kulkarni,Diploma-ME,34,92,0,1,90,92,95,92.3,91
S1035,Ramesh,Gupta,Diploma-EE,35,12,150,5,25,30,28,27.7,55
S1036,Priya,Joshi,Diploma-CS,36,60,35,2,55,58,52,55,65
S1037,Yash,Kumar,Diploma-ME,37,78,10,1,75,78,80,77.7,76
S1038,Sneha,Reddy,Diploma-EE,38,45,100,4,38,42,40,40,55
S1039,Arjun,Sharma,Diploma-CS,39,82,0,1,80,84,88,84,82
S1040,Divya,Patil,Diploma-ME,40,50,50,3,45,50,48,47.7,55
S1041,Kavya,Kulkarni,Diploma-EE,41,90,0,1,88,90,92,90,89
S1042,Rohit,Jain,Diploma-CS,42,40,120,5,35,38,32,35,55
S1043,Sakshi,Sharma,Diploma-ME,43,65,25,2,60,62,58,60,66
S1044,Harsh,Patel,Diploma-EE,44,55,75,3,48,50,45,47.7,55
S1045,Anita,Gupta,Diploma-CS,45,92,0,1,90,88,92,90,85
S1046,Arjun,Reddy,Diploma-ME,46,48,95,4,42,45,40,42.3,55
S1047,Divya,Sharma,Diploma-EE,47,85,5,1,82,88,85,85,83
S1048,Vivek,Patil,Diploma-CS,48,55,60,3,50,53,48,50.3,57
S1049,Kavya,Kumar,Diploma-ME,49,92,0,1,90,92,95,92.3,91
S1050,Rohit,Joshi,Diploma-EE,50,12,150,5,25,30,28,27.7,55
S1051,Sneha,Kulkarni,Diploma-CS,51,60,35,2,55,58,52,55,65
S1052,Arjun,Sharma,Diploma-ME,52,78,10,1,75,78,80,77.7,76
S1053,Divya,Patil,Diploma-EE,53,45,100,4,38,42,40,40,55
S1054,Kavya,Gupta,Diploma-CS,54,82,0,1,80,84,88,84,82
S1055,Harsh,Kulkarni,Diploma-ME,55,50,50,3,45,50,48,47.7,55
S1056,Anita,Sharma,Diploma-EE,56,90,0,1,88,90,92,90,89
S1057,Arjun,Patil,Diploma-CS,57,40,120,5,35,38,32,35,55
S1058,Divya,Kulkarni,Diploma-ME,58,65,25,2,60,62,58,60,66
S1059,Ramesh,Sharma,Diploma-EE,59,55,75,3,48,50,45,47.7,55
S1060,Priya,Gupta,Diploma-CS,60,92,0,1,90,88,92,90,85
S1061,Yash,Patil,Diploma-ME,61,48,95,4,42,45,40,42.3,55
S1062,Sneha,Joshi,Diploma-EE,62,85,5,1,82,88,85,85,83
S1063,Arjun,Reddy,Diploma-CS,63,55,60,3,50,53,48,50.3,57
S1064,Divya,Sharma,Diploma-ME,64,92,0,1,90,92,95,92.3,91
S1065,Kavya,Kulkarni,Diploma-EE,65,12,150,5,25,30,28,27.7,55
S1066,Rohit,Patel,Diploma-CS,66,60,35,2,55,58,52,55,65
S1067,Sakshi,Kumar,Diploma-ME,67,78,10,1,75,78,80,77.7,76
S1068,Harsh,Joshi,Diploma-EE,68,45,100,4,38,42,40,40,55
S1069,Anita,Patil,Diploma-CS,69,82,0,1,80,84,88,84,82
S1070,Arjun,Sharma,Diploma-ME,70,50,50,3,45,50,48,47.7,55
S1071,Divya,Gupta,Diploma-EE,71,90,0,1,88,90,92,90,89
S1072,Kavya,Sharma,Diploma-CS,72,40,120,5,35,38,32,35,55
S1073,Rohit,Patil,Diploma-ME,73,65,25,2,60,62,58,60,66
S1074,Sneha,Joshi,Diploma-EE,74,55,75,3,48,50,45,47.7,55
S1075,Arjun,Kulkarni,Diploma-CS,75,92,0,1,90,88,92,90,85
S1076,Divya,Sharma,Diploma-ME,76,48,95,4,42,45,40,42.3,55
S1077,Yash,Patil,Diploma-EE,77,85,5,1,82,88,85,85,83
S1078,Sakshi,Kulkarni,Diploma-CS,78,55,60,3,50,53,48,50.3,57
S1079,Rohit,Sharma,Diploma-ME,79,92,0,1,90,92,95,92.3,91
S1080,Harsh,Patil,Diploma-EE,80,12,150,5,25,30,28,27.7,55
S1081,Anita,Kumar,Diploma-CS,81,60,35,2,55,58,52,55,65
S1082,Arjun,Joshi,Diploma-ME,82,78,10,1,75,78,80,77.7,76
